qid,vid,query,pred_start,pred_end,conf,iou,category
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,0.0,76.0,1.0,0.0,fg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,34.0,80.0,0.0006,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,44.0,80.0,0.0,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,12.0,118.0,0.0,0.2608695652173913,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,110.0,122.0,0.0,0.17647058823529413,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,68.0,82.0,0.0,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,8.0,36.0,0.0,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,40.0,50.0,0.0,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,110.0,124.0,0.0,0.20588235294117646,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,76.0,102.0,0.0,0.2702702702702703,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,118.0,150.0,1.0,0.5625,fg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,90.0,102.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,54.0,116.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,130.0,146.0,0.0,0.21428571428571427,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,56.0,66.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,16.0,28.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,82.0,98.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,46.0,64.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,30.0,46.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,94.0,106.0,0.0,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,94.0,150.0,0.9998,0.9642857142857143,fg
