qid,vid,query,pred_start,pred_end,conf,iou,category
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,106.0,150.0,0.998,0.6470588235294118,fg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,0.0,68.0,0.8015,0.0,fg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,98.0,122.0,0.0129,0.35294117647058826,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,76.0,88.0,0.0052,0.08108108108108109,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,98.0,106.0,0.0022,0.11764705882352941,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,56.0,74.0,0.0008,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,34.0,124.0,0.0003,0.3620689655172414,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,136.0,148.0,0.0002,0.17647058823529413,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,0.0,24.0,0.0002,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,40.0,50.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,112.0,150.0,0.9988,0.47368421052631576,fg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,0.0,106.0,0.0191,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,98.0,108.0,0.0004,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,40.0,126.0,0.0002,0.08333333333333333,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,72.0,88.0,0.0001,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,92.0,120.0,0.0001,0.045454545454545456,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,48.0,82.0,0.0001,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,130.0,140.0,0.0001,0.2727272727272727,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,8.0,50.0,0.0001,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,46.0,58.0,0.0,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,100.0,150.0,0.9997,0.9259259259259259,fg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,84.0,90.0,0.1146,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,102.0,108.0,0.0127,0.1111111111111111,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,54.0,76.0,0.006,0.9090909090909091,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,142.0,150.0,0.0026,0.14814814814814814,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,100.0,134.0,0.0016,0.6296296296296297,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,56.0,62.0,0.0003,0.3,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,30.0,118.0,0.0003,0.22727272727272727,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,22.0,36.0,0.0002,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,32.0,56.0,0.0,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,28.0,50.0,0.9805,0.4375,fg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,122.0,134.0,0.4839,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,74.0,92.0,0.2603,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,34.0,50.0,0.1297,0.5384615384615384,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,94.0,118.0,0.1119,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,140.0,150.0,0.0617,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,92.0,102.0,0.0099,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,2.0,12.0,0.0065,0.0,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,30.0,38.0,0.0057,0.06666666666666667,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,42.0,136.0,0.0014,0.18,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,76.0,92.0,0.9922,0.875,fg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,94.0,110.0,0.5018,0.0,fg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,74.0,80.0,0.0038,0.1111111111111111,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,124.0,132.0,0.0031,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,138.0,148.0,0.0005,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,92.0,98.0,0.0005,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,46.0,52.0,0.0002,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,14.0,28.0,0.0001,0.0,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,46.0,100.0,0.0001,0.25925925925925924,bg
8749,NUsG9BgSes0_510.0_660.0,Woman opens a cup of noodles and puts in water.,36.0,48.0,0.0001,0.0,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,0.0,150.0,0.9999,0.49333333333333335,fg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,40.0,116.0,0.0001,0.39215686274509803,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,96.0,132.0,0.0001,0.5454545454545454,bg
2638,bP5KfdFJzC4_60.0_210.0,Woman in plaid shirt sits still by a red couch.,14.0,44.0,0.0001,0.40540540540540543,bg
